Data,Temp. Max. (C),Variation,Avg.3D,Avg.7D,Weekday,Month
2022-05-20 07:00:00,7.5,-0.3000000000000007,8.433333333333332,9.285714285714286,4,5
2022-05-20 08:00:00,7.5,-0.6999999999999993,8.066666666666665,8.914285714285715,4,5
2022-05-20 09:00:00,7.3,0.0,7.733333333333332,8.514285714285714,4,5
2022-05-20 10:00:00,7.3,-0.20000000000000018,7.433333333333333,8.128571428571428,4,5
2022-05-20 11:00:00,8.6,0.0,7.3666666666666645,7.8428571428571425,4,5
2022-05-20 12:00:00,13.3,1.2999999999999998,7.733333333333332,7.8428571428571425,4,5
2022-05-20 13:00:00,14.3,4.700000000000001,9.733333333333333,8.528571428571428,4,5
2022-05-20 14:00:00,14.7,1.0,12.066666666666668,9.4,4,5
2022-05-20 15:00:00,15.8,0.3999999999999986,14.1,10.428571428571429,4,5
2022-05-20 16:00:00,16.0,1.1000000000000014,14.933333333333332,11.614285714285714,4,5
2022-05-20 17:00:00,16.6,0.1999999999999993,15.5,12.857142857142858,4,5
2022-05-20 18:00:00,16.8,0.6000000000000014,16.133333333333333,14.185714285714285,4,5
2022-05-20 19:00:00,17.3,0.1999999999999993,16.466666666666665,15.357142857142858,4,5
2022-05-20 20:00:00,16.5,0.5,16.9,15.928571428571429,4,5
2022-05-20 21:00:00,14.6,-0.8000000000000007,16.866666666666664,16.242857142857144,4,5
2022-05-20 22:00:00,13.1,-1.9000000000000004,16.133333333333333,16.22857142857143,4,5
2022-05-20 23:00:00,12.5,-1.5,14.733333333333333,15.842857142857143,4,5
2022-05-21 00:00:00,12.3,-0.5999999999999996,13.399999999999999,15.342857142857143,5,5
2022-05-21 01:00:00,12.2,-0.1999999999999993,12.633333333333331,14.728571428571428,5,5
2022-05-21 02:00:00,12.0,-0.10000000000000142,12.333333333333334,14.071428571428571,5,5
2022-05-21 03:00:00,11.5,-0.1999999999999993,12.166666666666666,13.314285714285713,5,5
2022-05-21 04:00:00,10.9,-0.5,11.899999999999999,12.599999999999998,5,5
2022-05-21 05:00:00,11.0,-0.5999999999999996,11.466666666666667,12.071428571428571,5,5
2022-05-21 06:00:00,11.0,0.09999999999999964,11.133333333333333,11.771428571428572,5,5
2022-05-21 07:00:00,11.0,0.0,10.966666666666667,11.557142857142859,5,5
2022-05-21 08:00:00,11.0,0.0,11.0,11.37142857142857,5,5
